"record_id","component","q_number","response"
"test_1","cons",1,6
"test_1","cons",2,5
"test_1","cons",3,3
"test_1","ext",1,5
"test_1","ext",2,4
"test_1","ext",3,1
"test_1","opp",1,4
"test_1","opp",2,7
"test_1","opp",3,2
"test_1","opp",4,4
"test_2","cons",1,2
"test_2","cons",2,3
"test_2","cons",3,4
"test_2","ext",1,4
"test_2","ext",2,5
"test_2","ext",3,6
"test_2","opp",1,1
"test_2","opp",2,2
"test_2","opp",3,3
"test_2","opp",4,7
"test_3","cons",1,6
"test_3","cons",2,5
"test_3","cons",3,4
"test_3","ext",1,4
"test_3","ext",2,3
"test_3","ext",3,2
"test_3","opp",1,7
"test_3","opp",2,6
"test_3","opp",3,5
"test_3","opp",4,1
